Group,ID,List,Target,RT,RT_log,Critical_Filler,Word_Nonword,Relation_type,Branching,accuracy
L1,L1_10,D,unkindness,784,6.6644,Critical,Word,NonConstituent,Left,correct
L1,L1_10,D,resealable,0,NA,Critical,Word,Unrelated,Left,incorrect
L1,L1_10,D,unholiness,1018,6.9256,Critical,Word,Constituent,Left,correct
L1,L1_10,D,unhappiness,928,6.833,Critical,Word,Unrelated,Left,correct
L1,L1_10,D,readjustable,1089,6.993,Critical,Word,Unrelated,Left,correct
L1,L1_10,D,unawareness,793,6.6758,Critical,Word,Unrelated,Left,correct
L1,L1_10,D,unthankful,899,6.8013,Critical,Word,Constituent,Right,correct
L1,L1_10,D,unclearness,1035,6.9422,Critical,Word,Constituent,Left,correct
L1,L1_10,D,ungraceful,1082,6.9866,Critical,Word,Unrelated,Right,correct
L1,L1_10,D,reclosable,988,6.8957,Critical,Word,NonConstituent,Left,correct
L1,L1_10,D,uncleverness,1812,7.5022,Critical,Word,NonConstituent,Left,correct
L1,L1_10,D,rehydratable,0,NA,Critical,Word,Constituent,Left,incorrect
L1,L1_10,D,unavoidable,667,6.5028,Critical,Word,Constituent,Right,correct
L1,L1_10,D,resellable,804,6.6896,Critical,Word,Constituent,Left,correct
L1,L1_10,D,unreadable,933,6.8384,Critical,Word,Constituent,Right,correct
L1,L1_10,D,unskillful,945,6.8512,Critical,Word,Unrelated,Right,correct
L1,L1_10,D,reobtainable,986,6.8937,Critical,Word,NonConstituent,Left,incorrect
L1,L1_10,D,unmovable,868,6.7662,Critical,Word,Unrelated,Right,correct
L1,L1_11,E,uncleverness,576,6.3561,Critical,Word,Unrelated,Left,incorrect
L1,L1_11,E,resealable,489,6.1924,Critical,Word,Constituent,Left,correct
L1,L1_11,E,reusable,471,6.1549,Critical,Word,Unrelated,Left,correct
L1,L1_11,E,unclearness,743,6.6107,Critical,Word,NonConstituent,Left,incorrect
L1,L1_11,E,unbreakable,506,6.2265,Critical,Word,Unrelated,Right,correct
L1,L1_11,E,recomputable,565,6.3368,Critical,Word,Constituent,Left,correct
L1,L1_11,E,unresentful,553,6.3154,Critical,Word,Constituent,Right,incorrect
L1,L1_11,E,reattachable,579,6.3613,Critical,Word,NonConstituent,Left,correct
L1,L1_11,E,undeniable,674,6.5132,Critical,Word,Constituent,Right,incorrect
L1,L1_11,E,rehydratable,580,6.363,Critical,Word,NonConstituent,Left,incorrect
L1,L1_11,E,unhappiness,440,6.0868,Critical,Word,Constituent,Left,correct
L1,L1_11,E,unsharpness,546,6.3026,Critical,Word,NonConstituent,Left,correct
L1,L1_11,E,unkindness,694,6.5425,Critical,Word,Unrelated,Left,correct
L1,L1_11,E,readjustable,476,6.1654,Critical,Word,Constituent,Left,correct
L1,L1_11,E,unreadable,625,6.4378,Critical,Word,Constituent,Right,correct
L1,L1_11,E,unripeness,1177,7.0707,Critical,Word,Constituent,Left,incorrect
L1,L1_11,E,unwariness,825,6.7154,Critical,Word,Unrelated,Left,incorrect
L1,L1_11,E,unthankful,690,6.5367,Critical,Word,Constituent,Right,correct
L1,L1_11,E,unmovable,649,6.4754,Critical,Word,Unrelated,Right,correct
L1,L1_11,E,untouchable,527,6.2672,Critical,Word,Unrelated,Right,correct
L1,L1_11,E,reclosable,654,6.4831,Critical,Word,Unrelated,Left,correct
L1,L1_11,E,unskillful,564,6.3351,Critical,Word,Unrelated,Right,correct
L1,L1_11,E,uneventful,737,6.6026,Critical,Word,Constituent,Right,correct
L1,L1_11,E,unavoidable,981,6.8886,Critical,Word,Constituent,Right,incorrect
L1,L1_11,E,reobtainable,729,6.5917,Critical,Word,Unrelated,Left,correct
L1,L1_11,E,resellable,924,6.8287,Critical,Word,NonConstituent,Left,incorrect
L1,L1_11,E,unawareness,514,6.2422,Critical,Word,Constituent,Left,correct
L1,L1_11,E,untruthful,494,6.2025,Critical,Word,Unrelated,Right,correct
L1,L1_11,E,unholiness,806,6.6921,Critical,Word,NonConstituent,Left,correct
L1,L1_11,E,ungraceful,658,6.4892,Critical,Word,Unrelated,Right,correct
L1,L1_12,F,unhappiness,0,NA,Critical,Word,NonConstituent,Left,incorrect
L1,L1_12,F,unawareness,921,6.8255,Critical,Word,NonConstituent,Left,correct
L1,L1_12,F,unholiness,1012,6.9197,Critical,Word,Unrelated,Left,correct
L1,L1_12,F,ungraceful,928,6.833,Critical,Word,Unrelated,Right,correct
L1,L1_12,F,untruthful,858,6.7546,Critical,Word,Unrelated,Right,correct
L1,L1_12,F,unmovable,1099,7.0022,Critical,Word,Unrelated,Right,correct
L1,L1_12,F,resellable,851,6.7464,Critical,Word,Unrelated,Left,correct
L1,L1_12,F,unkindness,782,6.6619,Critical,Word,Constituent,Left,correct
L1,L1_12,F,unavoidable,935,6.8405,Critical,Word,Constituent,Right,correct
L1,L1_12,F,unresentful,1326,7.1899,Critical,Word,Constituent,Right,correct
L1,L1_12,F,recomputable,1044,6.9508,Critical,Word,NonConstituent,Left,correct
L1,L1_12,F,undeniable,808,6.6946,Critical,Word,Constituent,Right,correct
L1,L1_12,F,uncleverness,940,6.8459,Critical,Word,Constituent,Left,correct
L1,L1_12,F,reusable,813,6.7007,Critical,Word,Constituent,Left,correct
L1,L1_12,F,readjustable,738,6.6039,Critical,Word,NonConstituent,Left,correct
L1,L1_12,F,reobtainable,869,6.7673,Critical,Word,Constituent,Left,correct
L1,L1_12,F,resealable,633,6.4505,Critical,Word,NonConstituent,Left,correct
L1,L1_12,F,unwariness,1021,6.9285,Critical,Word,Constituent,Left,correct
